網址,標題
https://crazy.ck101.com/post/13975,來亂 作戲 作秀的游藝參選候選人???
https://crazy.ck101.com/post/13970,不敢接受辯論的西瓜市！最浪費選民時間的政見發表會
https://crazy.ck101.com/post/13966,國民黨又出新招！先告狀指稱「別人幫我賄選」
https://crazy.ck101.com/post/13963,惡意逼車
https://crazy.ck101.com/post/13962,統媒假新聞造謠不遺餘力，汙辱選民遭嗆爆D能媒體
https://crazy.ck101.com/post/13957,空心韓導辯論被打爆！喜韓兒傾巢而出造謠陳其邁戴耳機
https://crazy.ck101.com/post/13951,狂者媽媽！搭車驚遇兒子搶劫　當場脫拖鞋啪啪打爆
https://crazy.ck101.com/post/13950,侯友宜批賴神撒錢沒給新北 蘇貞昌：幾百億講成0元
https://crazy.ck101.com/post/13946,邱議瑩臉書留言蒸發30萬則
https://crazy.ck101.com/post/13945,神氏家族低能鬥陣日常第二彈!!
https://crazy.ck101.com/post/13944,李明彥落網 大喊：是鋼筋打人不是我打的！
https://crazy.ck101.com/post/13940,遲到扣全勤？女騎士等紅燈全脫剩黑色Bra！眾人看傻
https://crazy.ck101.com/post/13938,有沒有看過自己人跟自己人辯論? 而且一共9場喔
https://crazy.ck101.com/post/13935,韓國瑜屢屢失言！許淑華嗆「沒有最蠢只有更蠢」
https://crazy.ck101.com/post/13933,聲援婦聯會被質疑 柯文哲道歉認「錯誤的援引例證」
https://crazy.ck101.com/post/13932,新竹縣尖石溫泉
https://crazy.ck101.com/post/13930,L牌車子很貴   https://www.facebook.com/242305665805605/posts/2185580184811467/
https://crazy.ck101.com/post/13925,館長栽贓沒簽ECFA害社頭，結果早簽了還害慘台灣經濟
https://crazy.ck101.com/post/13924,韓國瑜愛情摩天輪政策分析報告
https://crazy.ck101.com/post/13922,看到觀落陰的三立新聞???
https://crazy.ck101.com/post/13920,已經講別捐血作秀了！韓國瑜硬要發通知慘遭噓爆
https://crazy.ck101.com/post/13919,可恥！大家忙救災，統媒竟藉機操作政治製造對立
https://crazy.ck101.com/post/13918,普悠瑪列車出事之後，就怪前朝馬政府的名嘴
https://crazy.ck101.com/post/13916,不聽話就下地獄，水晶界Seafood再現，她吃了人面魚，還說魚親自跟她說謝謝!
https://crazy.ck101.com/post/13915,重大災難還政治算計媒體版面，這舉動讓醫護人員全罵翻
https://crazy.ck101.com/post/13907,狂！韓國瑜小編上節目罵高雄人又老又窮
https://crazy.ck101.com/post/13906,高市議員抽籤 獨派女參選人「全脫」!!!
https://crazy.ck101.com/post/13898,通緝犯因吸毒加逃逸致死，恐龍法官加碼國賠大放送
https://crazy.ck101.com/post/13895,砲兵偽造訃聞騙喪假 曾祖母被他復活又賜死2次
https://crazy.ck101.com/post/13894,選情告急搞腳尾飯！嗆綠關FB 竟是造謠怕被吉自己關的
https://crazy.ck101.com/post/13893,古人有云.........「誠摯終招忌」
https://crazy.ck101.com/post/13892,「火雲邪神」借廁所遭拒　抓全家店員出氣
https://crazy.ck101.com/post/13891,經濟部長用鼻孔插電？！
https://crazy.ck101.com/post/13887,億萬富豪墜機全家喪命 疑自拍打暈機師釀禍
https://crazy.ck101.com/post/13882,高雄人短命因不搭捷運？馬英九再度失言遭唾棄
https://crazy.ck101.com/post/13880,白賊又發威稱任內整治愛河？遭嗆釀氣爆管線你亂埋的
https://crazy.ck101.com/post/13879,朱立倫核定深澳電廠遭停建，環團髮夾彎砲轟賴清德
https://crazy.ck101.com/post/13878,反綠軒哥撞死3人15萬交保！遭起底黨國附隨黑道組織
https://crazy.ck101.com/post/13874,廢死迎英議員 最高院遭罵翻
https://crazy.ck101.com/post/13872,只有KMT能超越KMT的狂! 死人聯署再使穢土轉生來輔選
https://crazy.ck101.com/post/13871,反綠反到智堪慮？館長直播違規遭停權卻怪陳其邁
https://crazy.ck101.com/post/13861,兩岸一家親！中華台北隊作弊遭《爐石》取消世界賽資格
https://crazy.ck101.com/post/13860,中華民國記者丟臉！台灣新聞竟靠日媒報導揭露
https://crazy.ck101.com/post/13856,文成武德神助防護罩！25個颱風遇台灣皆轉向
https://crazy.ck101.com/post/13854,頑童「拍馬屁」一腳被踹飛重擊路邊機車倒地大哭不起
https://crazy.ck101.com/post/13846,電影【紅樓夢】入選十幾個影展大受國際好評，胖虎拍攝紅樓夢強調真槍實彈 網友回應: 是跟臨演嗎?　
https://crazy.ck101.com/post/13844,太87！笨賊偷車被防盜反鎖　崩潰敲窗：讓我出去
https://crazy.ck101.com/post/13843,馬自達之五趴馬傳奇
https://crazy.ck101.com/post/13842,運結識藥頭 政治網紅染毒被捕內幕
https://crazy.ck101.com/post/13839,搭摩天輪頭髮竟被扯進去 正妹頭皮遭「酷刑」撕開
https://crazy.ck101.com/post/13837,面對國民黨的雛妓樂園，馬英九表示她們都自願的
https://crazy.ck101.com/post/13835,塑膠微粒全面入侵！環保署全面調查，自來水、海水、沙灘、貝類都含塑膠微粒
https://crazy.ck101.com/post/13833,毒咖啡印「火影忍者」主角 男子答不出名字被逮
https://crazy.ck101.com/post/13830,告網友又挨罵低能兒　王瑞德嗆「你是第21個」
https://crazy.ck101.com/post/13828,【蘋果直擊】南台灣「天坑之謎」　秒懂官商勾結怎麼搞
https://crazy.ck101.com/post/13826,白目男獻身誘惑小鱷魚　下場悲劇險遭絕子絕孫！
https://crazy.ck101.com/post/13822,開車進隧道險撞「長髮裸女」　網嚇壞：確定是人？
https://crazy.ck101.com/post/13821,不只算錯…戴資穎臉書發感性文 竟被政院列入「假新聞」???
https://crazy.ck101.com/post/13820,姚、蘇民調「超驚人」？彭文正慘遭打臉：不愧是台大教授
https://crazy.ck101.com/post/13819,糗！政院算錯假新聞 算不算是假新聞
https://crazy.ck101.com/post/13815,殺4人被判死！冷血殺人犯無悔意 開庭時「倒頭狂睡」XD
https://crazy.ck101.com/post/13811,外交部駐外單位資源不足的真相，政治卸責下的犧牲者：是誰，殺了我們的外交官？
https://crazy.ck101.com/post/13810,海濤法師又有驚人見解
https://crazy.ck101.com/post/13806,中國造假新聞統媒跟風，酸民害死駐大阪辦事處長
https://crazy.ck101.com/post/13804,巴塞隆納禁21呎「棺材房」出租
https://crazy.ck101.com/post/13802,加賴/微信:wuso258台灣本土正妹雙飛無套全場3K起
https://crazy.ck101.com/post/13799,雙語
https://crazy.ck101.com/post/13796,【前鎮冰屍】獵奇凶案逆轉！　長子為錢花百萬雇友弒父
https://crazy.ck101.com/post/13795,烏克蘭的代孕產業：游走在法律邊緣
https://crazy.ck101.com/post/13790,騎士高架橋下等紅燈 大雨水柱沖頭如SPA
https://crazy.ck101.com/post/13789,外交部的兩種作為：楊偉中 VS 滯日國人，﻿﻿﻿臺灣政府對滯日國人到底做了什麼？！
